userId,carId,rating
29,99350,1
29,484767,2
29,432904,3
29,492252,5
29,1247,4
29,401522,2
29,436755,5
29,467105,3
29,20651,3
30,481216,4
30,72144,5
30,150085,3
30,14895,2
30,287930,4
30,439479,2
30,223035,4
30,48529,5
30,113214,5
30,517847,5
31,181539,2
31,536110,2
31,527133,3
31,141138,4
31,482605,2
31,280837,1
31,523445,1
31,273192,2
31,388021,4
31,73992,2
32,337715,1
32,308998,4
32,192869,2
32,179289,5
32,165649,4
32,489785,3
32,382728,2
32,97364,1
32,199525,5
32,150916,2
33,146407,1
33,40801,1
33,3978,3
33,458167,3
33,544662,5
33,400610,5
33,110560,3
33,211260,2
33,182586,3
33,28076,2
34,391306,2
34,299922,5
34,391099,3
34,466451,4
34,460972,5
34,457917,3
34,359188,2
34,381036,4
34,91604,2
34,61021,2
35,374026,4
35,192985,5
35,178674,3
35,471822,2
35,513223,4
35,66824,4
35,94646,1
35,524549,2
35,235473,3
35,274701,5
36,344462,4
36,290026,3
36,228212,1
36,546295,4
36,240384,3
36,456481,5
36,242739,2
36,175396,1
36,242720,5
36,66647,1
37,222496,2
37,249057,1
37,455159,2
37,169138,4
37,247849,2
37,192451,2
37,357416,5
37,436226,1
37,51138,3
37,265151,2
38,50291,5
38,137086,1
38,413589,3
38,221157,3
38,289660,1
38,222411,3
38,262376,1
38,463753,3
38,279155,5
38,304300,3
39,319434,1
39,137839,2
39,352421,4
39,385710,1
39,15994,1
39,469441,4
39,151050,1
39,507963,5
39,406406,1
39,107948,2
40,186172,2
40,478473,4
40,414129,3
40,200039,5
40,468782,4
40,253639,1
40,159980,4
40,357297,1
40,488660,3
40,274652,5
41,96590,5
41,384429,5
41,87000,5
41,482561,4
41,205611,2
41,84006,2
41,52171,4
41,400129,1
41,449706,1
41,315791,3
42,301089,4
42,283962,4
42,464917,5
42,152935,5
42,19532,2
42,310054,3
42,351805,4
42,92959,5
42,143646,3
42,318647,1
43,235465,2
43,36586,1
43,11492,4
43,547872,2
43,246740,5
43,457724,5
43,25853,2
43,512527,2
43,63329,5
43,464317,5
44,4153,3
44,294544,5
44,404356,3
44,256212,1
44,165959,2
44,297074,3
44,151208,5
44,437540,2
44,135428,3
44,305606,2
45,159455,2
45,365423,3
45,362703,1
45,151969,3
45,220476,5
45,119821,3
45,206743,1
45,396077,3
45,513815,2
45,142242,5
46,215602,5
46,376866,4
46,188128,4
46,279598,3
46,11510,3
46,21635,5
46,393166,5
46,226578,4
46,87963,3
46,202317,5
47,164333,2
47,53094,3
47,392761,3
47,299522,4
47,361557,4
47,32643,2
47,177624,4
47,444877,5
47,313700,1
47,487946,1
48,28953,2
48,256349,4
48,290093,3
48,97355,3
48,483099,5
48,386740,4
48,548568,2
48,240246,2
48,341300,1
48,239216,3
49,514612,3
49,382596,1
49,510032,1
49,355718,1
49,292758,5
49,179168,3
49,84534,5
49,220126,2
49,210464,2
49,515201,5
